instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
m4.large,us-east-1,Windows,Dedicated,SQL Std,1.013,6575.0,3355.0,0.383,0.896
i2.4xlarge,us-east-2,Windows,Shared,SQL Server Enterprise,10.146,71473.0,35864.0,4.094,8.435
i3.8xlarge,us-east-1,SUSE,Shared,NA,2.596,14218.0,7282.0,0.824,1.747
i3.4xlarge,us-gov-west-1,Windows,Dedicated,SQL Server Enterprise,8.39,68239.0,34214.0,3.906,7.863
c4.xlarge,ap-southeast-2,Linux,Dedicated,NA,0.287,1492.0,761.0,0.087,0.185
hi1.4xlarge,us-east-1,RHEL,Shared,NA,3.23,13324.0,7280.0,0.721,1.828
x1.32xlarge,us-east-2,Windows,Dedicated,SQL Server Enterprise,67.226,539261.0,270316.0,30.858,63.047
c3.xlarge,us-west-1,Windows,Shared,NA,0.376,2722.0,868.0,0.218,0.371
c4.4xlarge,ap-southeast-2,Windows,Dedicated,SQL Server Enterprise,7.882,65324.0,32726.0,3.736,7.475
i3.xlarge,ap-northeast-1,Windows,Dedicated,SQL Std,1.714,13731.0,6888.0,0.786,1.584
r4.large,ap-northeast-2,Windows,Dedicated,SQL Std,1.395,11585.0,5802.0,0.662,1.3299
i3.xlarge,eu-central-1,Windows,Shared,SQL Std,1.683,13560.0,6801.0,0.776,1.563
m1.large,us-gov-west-1,Windows,Shared,SQL Web,0.517,1918.0,846.0,0.144,0.281
m3.xlarge,eu-central-1,Windows,Shared,NA,0.567,3370.0,1354.0,0.238,0.46
r3.8xlarge,ap-northeast-1,Windows,Dedicated,SQL Web,4.577,22338.0,14817.0,0.911,3.046
r4.16xlarge,eu-central-1,Windows,Shared,SQL Server Enterprise,32.0656,262410.0,131474.0,15.008,30.1696
m4.2xlarge,ap-southeast-1,Windows,Shared,SQL Server Enterprise,3.868,32045.0,16048.0,1.832,3.6788
i3.xlarge,us-east-1,SUSE,Dedicated,NA,0.443,2205.0,1153.0,0.125,0.269
i3.8xlarge,ap-south-1,Windows,Dedicated,SQL Web,5.151,35219.0,17787.0,2.03,4.18
t2.large,ap-northeast-2,Windows,Shared,NA,0.156,1051.0,534.0,0.061,0.1196
d2.8xlarge,us-east-2,Windows,Shared,SQL Server Enterprise,20.676,156386.0,78434.0,8.954,18.375
i3.xlarge,us-west-1,RHEL,Dedicated,NA,0.438,2637.0,1077.0,0.183,0.319
i3.16xlarge,ca-central-1,Linux,Shared,NA,5.504,30713.0,15670.0,1.789,3.763
r4.2xlarge,sa-east-1,Windows,Shared,NA,1.488,8993.0,4555.0,0.52,1.0736
r4.xlarge,us-east-2,Windows,Dedicated,SQL Server Enterprise,1.977,16261.0,8146.0,0.93,1.89
c3.large,us-east-1,Windows,Dedicated,SQL Std,0.617,3274.0,1338.0,0.229,0.446
m3.2xlarge,ap-northeast-1,RHEL,Dedicated,NA,0.99,5454.0,2036.0,0.4,0.703
r3.8xlarge,eu-central-1,Linux,Dedicated,NA,3.201,17280.0,11907.0,0.654,2.341
c4.4xlarge,sa-east-1,RHEL,Shared,NA,1.365,8341.0,3675.0,0.55,1.012
i3.large,ap-southeast-2,SUSE,Shared,NA,0.287,1333.0,708.0,0.074,0.161
r4.4xlarge,sa-east-1,Linux,Shared,NA,2.24,11538.0,5887.0,0.672,1.4112
d2.xlarge,eu-west-1,SUSE,Dedicated,NA,0.919,3918.0,2033.0,0.224,0.532
t2.small,ap-south-1,Linux,Shared,NA,0.03,197.0,101.0,0.012,0.0231
m3.large,sa-east-1,Linux,Shared,NA,0.19,886.0,545.0,0.041,0.12
g2.2xlarge,eu-central-1,SUSE,Shared,NA,0.872,4436.0,2293.0,0.255,0.602
r3.8xlarge,us-west-1,Windows,Shared,NA,3.8,18475.0,12256.0,0.753,2.518
c4.8xlarge,ap-northeast-1,Linux,Shared,NA,2.016,11830.0,6036.0,0.689,1.445
c4.8xlarge,ap-southeast-1,Windows,Dedicated,NA,3.504,24023.0,12258.0,1.399,2.916
r4.large,ca-central-1,Windows,Dedicated,SQL Web,0.324,2255.0,1136.0,0.13,0.2646
m4.16xlarge,ca-central-1,Linux,Shared,NA,3.552,17857.0,9110.0,1.04,2.184
r4.4xlarge,us-gov-west-1,Windows,Shared,SQL Std,6.5188,52497.0,26315.0,3.004,6.0484
m4.xlarge,ap-northeast-2,Windows,Shared,SQL Web,0.501,3436.0,1730.0,0.1975,0.402
r3.4xlarge,eu-west-1,RHEL,Dedicated,NA,1.76,10027.0,5831.0,0.502,1.338
c4.xlarge,us-west-2,Windows,Shared,SQL Std,1.51,9318.0,4755.0,0.543,1.27
